功能层级,功能模块,功能子项,主要使用用户,使用场景,KANO类型,优先级
运营监控层,联动控制,控制策略自定义,现场调试人员,策略配置,基本,P0
运营监控层,联动控制,定时控制,现场调试人员,定时任务,期望,P1
运营监控层,门禁管理,开门控制,客户运维人员,门禁控制,期望,P1
运营监控层,门禁管理,用户管理,客户运维人员,门禁权限,期望,P1
运营监控层,门禁管理,门禁记录,客户运维人员,进出记录,期望,P1
运营监控层,ECO控制,ECO控制模式,客户运维人员,节能控制,魅力,P2
运营监控层,ECO控制,ECO参数设置,客户运维人员,节能配置,魅力,P2
运营监控层,大屏展示,大屏展示,客户运维人员,大屏监控,魅力,P1
运营监控层,大屏展示,界面轮播,客户运维人员,自动轮播,魅力,P2
决策分析层,历史数据,历史曲线,客户管理人员,趋势分析,基本,P0
决策分析层,报表查询,事件查询,客户管理人员,事件分析,基本,P0
决策分析层,报表查询,事件生命周期查询,客户管理人员,全程跟踪,期望,P1
决策分析层,报表查询,数据查询,客户管理人员,数据分析,基本,P0
决策分析层,资产管理,资产信息,客户管理人员,资产统计,基本,P0
决策分析层,资产管理,新增资产,客户运维人员,资产录入,基本,P0
决策分析层,资产管理,资产导出,客户管理人员,数据导出,期望,P1
决策分析层,资产管理,上架导入,客户运维人员,批量导入,期望,P1
决策分析层,资产管理,批量更新,客户运维人员,批量操作,期望,P1
决策分析层,资产管理,批量绑定,客户运维人员,关联绑定,期望,P1
决策分析层,抓拍记录,抓拍记录,客户管理人员,安防记录,魅力,P2
决策分析层,ECO分析,ECO日志,客户管理人员,节能分析,魅力,P2
维护支持层,系统维护,升级,售后维护人员,版本升级,基本,P0
维护支持层,系统维护,备份和还原,售后维护人员,数据备份,基本,P0
维护支持层,系统维护,系统运行记录,售后维护人员,运行监控,期望,P1
维护支持层,系统维护,时间同步,售后维护人员,时间校准,基本,P0
维护支持层,系统维护,设备调测,售后维护人员,设备调试,期望,P1
维护支持层,系统维护,看门狗,售后维护人员,系统保护,基本,P0
维护支持层,远程支持,远程维护,售后维护人员,远程诊断,期望,P1
维护支持层,系统诊断,系统自恢复,售后维护人员,自动恢复,魅力,P1
维护支持层,系统工具,系统工具,售后维护人员,系统工具,期望,P1
维护支持层,日志管理,操作日志,售后维护人员,操作记录,基本,P0
维护支持层,日志管理,联动日志,售后维护人员,联动记录,基本,P0
维护支持层,告警配置,告警配置,现场调试人员,告警设置,基本,P0
维护支持层,告警配置,告警屏蔽,现场调试人员,告警屏蔽,期望,P1
维护支持层,告警通知,告警/事件发送策略,现场调试人员,通知策略,基本,P0
维护支持层,告警通知,短信告警,客户运维人员,短信通知,期望,P1
维护支持层,告警通知,电话语音告警,客户运维人员,语音通知,魅力,P2
维护支持层,告警通知,邮件告警,客户运维人员,邮件通知,期望,P1
维护支持层,告警通知,界面告警,客户运维人员,界面提示,基本,P0
维护支持层,告警通知,声光告警,客户运维人员,现场告警,期望,P1
维护支持层,告警通知,桌面语音告警,客户运维人员,桌面提醒,魅力,P2
维护支持层,告警通知,微信告警,客户运维人员,微信通知,魅力,P1
维护支持层,告警通知,popo告警,客户运维人员,内部通讯,魅力,P2
移动应用层,移动数据,数据展示,客户运维人员,移动查看,基本,P0
移动应用层,移动数据,实时数据曲线,客户运维人员,实时曲线,期望,P1
移动应用层,移动数据,历史数据曲线,客户运维人员,历史曲线,期望,P1
移动应用层,移动控制,远程控制设备,客户运维人员,移动控制,期望,P1
移动应用层,移动告警,接收实时告警推送,客户运维人员,告警推送,基本,P0
移动应用层,移动告警,历史告警,客户运维人员,告警历史,基本,P0
移动应用层,移动告警,告警处理,客户运维人员,移动处理,期望,P1
移动应用层,移动告警,查看告警设备详情,客户运维人员,设备详情,期望,P1
移动应用层,移动设备,设备查询,客户运维人员,设备搜索,基本,P0
移动应用层,移动设备,关注设备,客户运维人员,设备关注,魅力,P1
移动应用层,云平板,总览,客户运维人员,现场总览,基本,P0
移动应用层,云平板,配电,客户运维人员,配电监控,基本,P0
移动应用层,云平板,环境,客户运维人员,环境监控,基本,P0
移动应用层,云平板,防护,客户运维人员,安防监控,期望,P1
移动应用层,云平板,IT设施,客户运维人员,IT监控,基本,P0
移动应用层,云平板,资产信息,客户运维人员,资产查看,期望,P1
移动应用层,云平板,人脸识别,客户运维人员,身份识别,魅力,P1
移动应用层,消息中心,通知公告,所有用户,信息发布,期望,P1
移动应用层,消息中心,系统消息,所有用户,系统通知,基本,P0
